;file;cue;rt;run;group;ID
354;Rests_03_MID_Teil2_2020-06-10_13-12-28;1;329;18;1;Rests_03
356;Rests_03_MID_Teil2_2020-06-10_13-12-28;2;327;19;1;Rests_03
357;Rests_03_MID_Teil2_2020-06-10_13-12-28;3;269;19;1;Rests_03
358;Rests_03_MID_Teil2_2020-06-10_13-12-28;1;304;20;1;Rests_03
359;Rests_03_MID_Teil2_2020-06-10_13-12-28;3;756;20;1;Rests_03
360;Rests_03_MID_Teil2_2020-06-10_13-12-28;2;631;20;1;Rests_03
361;Rests_03_MID_Teil2_2020-06-10_13-12-28;2;313;21;1;Rests_03
362;Rests_03_MID_Teil2_2020-06-10_13-12-28;1;656;21;1;Rests_03
363;Rests_03_MID_Teil2_2020-06-10_13-12-28;3;269;21;1;Rests_03
364;Rests_03_MID_Teil2_2020-06-10_13-12-28;2;262;22;1;Rests_03
365;Rests_03_MID_Teil2_2020-06-10_13-12-28;3;234;22;1;Rests_03
366;Rests_03_MID_Teil2_2020-06-10_13-12-28;1;295;22;1;Rests_03
367;Rests_03_MID_Teil2_2020-06-10_13-12-28;3;326;23;1;Rests_03
368;Rests_03_MID_Teil2_2020-06-10_13-12-28;2;255;23;1;Rests_03
369;Rests_03_MID_Teil2_2020-06-10_13-12-28;1;248;23;1;Rests_03
371;Rests_03_MID_Teil2_2020-06-10_13-12-28;3;242;24;1;Rests_03
374;Rests_03_MID_Teil2_2020-06-10_13-12-28;3;253;25;1;Rests_03
375;Rests_03_MID_Teil2_2020-06-10_13-12-28;1;350;25;1;Rests_03
376;Rests_03_MID_Teil2_2020-06-10_13-12-28;1;239;26;1;Rests_03
377;Rests_03_MID_Teil2_2020-06-10_13-12-28;2;246;26;1;Rests_03
378;Rests_03_MID_Teil2_2020-06-10_13-12-28;3;257;26;1;Rests_03
379;Rests_03_MID_Teil2_2020-06-10_13-12-28;2;283;27;1;Rests_03
381;Rests_03_MID_Teil2_2020-06-10_13-12-28;3;315;27;1;Rests_03
382;Rests_03_MID_Teil2_2020-06-10_13-12-28;3;294;28;1;Rests_03
384;Rests_03_MID_Teil2_2020-06-10_13-12-28;1;201;28;1;Rests_03
385;Rests_03_MID_Teil2_2020-06-10_13-12-28;2;234;29;1;Rests_03
386;Rests_03_MID_Teil2_2020-06-10_13-12-28;3;268;29;1;Rests_03
387;Rests_03_MID_Teil2_2020-06-10_13-12-28;1;219;29;1;Rests_03
388;Rests_03_MID_Teil2_2020-06-10_13-12-28;3;266;30;1;Rests_03
389;Rests_03_MID_Teil2_2020-06-10_13-12-28;2;289;30;1;Rests_03
391;Rests_03_MID_Teil2_2020-06-10_13-12-28;2;257;31;1;Rests_03
393;Rests_03_MID_Teil2_2020-06-10_13-12-28;1;274;31;1;Rests_03
394;Rests_03_MID_Teil2_2020-06-10_13-12-28;3;323;32;1;Rests_03
395;Rests_03_MID_Teil2_2020-06-10_13-12-28;2;269;32;1;Rests_03
396;Rests_03_MID_Teil2_2020-06-10_13-12-28;1;265;32;1;Rests_03
397;Rests_03_MID_Teil2_2020-06-10_13-12-28;1;277;33;1;Rests_03
401;Rests_03_MID_Teil2_2020-06-10_13-12-28;3;268;34;1;Rests_03
402;Rests_03_MID_Teil2_2020-06-10_13-12-28;2;267;35;1;Rests_03
403;Rests_03_MID_Teil2_2020-06-10_13-12-28;1;235;34;1;Rests_03
404;Rests_03_MID_Teil2_2020-06-10_13-12-28;3;217;35;1;Rests_03
406;Rests_03_MID_Teil2_2020-06-10_13-12-28;1;238;35;1;Rests_03
408;Rests_03_MID_Teil2_2020-06-10_13-12-28;3;270;36;1;Rests_03
409;Rests_03_MID_Teil2_2020-06-10_13-12-28;1;199;36;1;Rests_03
410;Rests_03_MID_Teil2_2020-06-10_13-12-28;2;294;38;1;Rests_03
411;Rests_03_MID_Teil2_2020-06-10_13-12-28;3;294;37;1;Rests_03
412;Rests_03_MID_Teil2_2020-06-10_13-12-28;1;254;37;1;Rests_03
413;Rests_03_MID_Teil2_2020-06-10_13-12-28;1;260;38;1;Rests_03
417;Rests_03_MID_Teil2_2020-06-10_13-12-28;1;254;39;1;Rests_03
418;Rests_03_MID_Teil2_2020-06-10_13-12-28;2;249;40;1;Rests_03
419;Rests_03_MID_Teil2_2020-06-10_13-12-28;2;235;41;1;Rests_03
420;Rests_03_MID_Teil2_2020-06-10_13-12-28;3;312;40;1;Rests_03
421;Rests_03_MID_Teil2_2020-06-10_13-12-28;1;286;40;1;Rests_03
423;Rests_03_MID_Teil2_2020-06-10_13-12-28;2;284;42;1;Rests_03
426;Rests_03_MID_Teil2_2020-06-10_13-12-28;2;257;43;1;Rests_03
428;Rests_03_MID_Teil2_2020-06-10_13-12-28;2;241;44;1;Rests_03
429;Rests_03_MID_Teil2_2020-06-10_13-12-28;1;206;43;1;Rests_03
430;Rests_03_MID_Teil2_2020-06-10_13-12-28;3;262;43;1;Rests_03
431;Rests_03_MID_Teil2_2020-06-10_13-12-28;2;298;45;1;Rests_03
432;Rests_03_MID_Teil2_2020-06-10_13-12-28;1;251;44;1;Rests_03
434;Rests_03_MID_Teil2_2020-06-10_13-12-28;1;243;45;1;Rests_03
435;Rests_03_MID_Teil2_2020-06-10_13-12-28;3;257;45;1;Rests_03
436;Rests_03_MID_Teil2_2020-06-10_13-12-28;2;276;46;1;Rests_03
437;Rests_03_MID_Teil2_2020-06-10_13-12-28;1;224;46;1;Rests_03
438;Rests_03_MID_Teil2_2020-06-10_13-12-28;2;268;47;1;Rests_03
439;Rests_03_MID_Teil2_2020-06-10_13-12-28;3;329;46;1;Rests_03
